	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 30	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 31	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	TopicId: smvFQmiSTm-XbvXKUPnIug	PartitionCount: 32	ReplicationFactor: 1	Configs: min.insync.replicas=1,cleanup.policy=delete,segment.bytes=52428800,retention.ms=86400000,message.timestamp.type=CreateTime,segment.ms=3600000
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 0	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 1	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 2	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 3	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 4	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 5	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 6	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 7	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 8	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 9	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 10	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-edge-databento-mission-sandwich-v1-prod-mission-sandwich-pace-by-market-repartition	Partition: 11	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
